h,Tilt angle β,δ (declinación),cos(θ) formula 1,cos(θ) formula 2,A,Latitude φ,cos(δ),sin(δ),cos(β),sin(β),cos(ω),sin(ω),cos(y),sin(y),cos(φ),sin(φ),Zenit,Rb
319,0,-19.14781731,0.292090699,0.778962183,5.4,19.32361,0.944675497,-0.32800641,1,0,0.995561965,0.094108313,0.943664676,0.330903279,0.943664676,0.330903279,0.778962183,1
320,0,-19.37800596,0.295468042,0.776462006,5.4,19.32361,0.943350095,-0.331799034,1,0,0.995561965,0.094108313,0.943664676,0.330903279,0.943664676,0.330903279,0.776462006,1
321,0,-19.60245249,0.298756544,0.77401213,5.4,19.32361,0.942043093,-0.335491893,1,0,0.995561965,0.094108313,0.943664676,0.330903279,0.943664676,0.330903279,0.77401213,1
322,0,-19.82109039,0.301955533,0.771614235,5.4,19.32361,0.940756017,-0.339084233,1,0,0.995561965,0.094108313,0.943664676,0.330903279,0.943664676,0.330903279,0.771614235,1
323,0,-20.03385488,0.305064364,0.769269969,5.4,19.32361,0.939490364,-0.342575328,1,0,0.995561965,0.094108313,0.943664676,0.330903279,0.943664676,0.330903279,0.769269969,1
324,0,-20.2406829,0.308082423,0.766980943,5.4,19.32361,0.938247607,-0.345964489,1,0,0.995561965,0.094108313,0.943664676,0.330903279,0.943664676,0.330903279,0.766980943,1
325,0,-20.44151317,0.31100912,0.764748732,5.4,19.32361,0.937029189,-0.349251056,1,0,0.995561965,0.094108313,0.943664676,0.330903279,0.943664676,0.330903279,0.764748732,1
326,0,-20.63628618,0.313843895,0.762574871,5.4,19.32361,0.935836522,-0.352434397,1,0,0.995561965,0.094108313,0.943664676,0.330903279,0.943664676,0.330903279,0.762574871,1
327,0,-20.82494422,0.316586213,0.760460858,5.4,19.32361,0.934670989,-0.355513913,1,0,0.995561965,0.094108313,0.943664676,0.330903279,0.943664676,0.330903279,0.760460858,1
328,0,-21.00743137,0.319235567,0.758408148,5.4,19.32361,0.933533938,-0.358489034,1,0,0.995561965,0.094108313,0.943664676,0.330903279,0.943664676,0.330903279,0.758408148,1
329,0,-21.18369356,0.321791472,0.756418154,5.4,19.32361,0.932426682,-0.361359215,1,0,0.995561965,0.094108313,0.943664676,0.330903279,0.943664676,0.330903279,0.756418154,1
330,0,-21.35367858,0.32425347,0.754492249,5.4,19.32361,0.9313505,-0.364123943,1,0,0.995561965,0.094108313,0.943664676,0.330903279,0.943664676,0.330903279,0.754492249,1
331,0,-21.51733603,0.326621126,0.75263176,5.4,19.32361,0.930306633,-0.366782727,1,0,0.995561965,0.094108313,0.943664676,0.330903279,0.943664676,0.330903279,0.75263176,1
332,0,-21.67461744,0.328894028,0.750837968,5.4,19.32361,0.929296282,-0.369335107,1,0,0.995561965,0.094108313,0.943664676,0.330903279,0.943664676,0.330903279,0.750837968,1
333,0,-21.82547618,0.331071786,0.74911211,5.4,19.32361,0.928320609,-0.371780644,1,0,0.995561965,0.094108313,0.943664676,0.330903279,0.943664676,0.330903279,0.74911211,1
334,0,-21.96986757,0.333154034,0.747455375,5.4,19.32361,0.927380736,-0.374118926,1,0,0.995561965,0.094108313,0.943664676,0.330903279,0.943664676,0.330903279,0.747455375,1
335,0,-22.10774881,0.335140425,0.745868907,5.4,19.32361,0.926477741,-0.376349566,1,0,0.995561965,0.094108313,0.943664676,0.330903279,0.943664676,0.330903279,0.745868907,1
336,0,-22.23907905,0.337030634,0.744353798,5.4,19.32361,0.92561266,-0.378472196,1,0,0.995561965,0.094108313,0.943664676,0.330903279,0.943664676,0.330903279,0.744353798,1
337,0,-22.36381937,0.338824356,0.742911093,5.4,19.32361,0.924786484,-0.380486476,1,0,0.995561965,0.094108313,0.943664676,0.330903279,0.943664676,0.330903279,0.742911093,1
338,0,-22.48193281,0.340521306,0.741541787,5.4,19.32361,0.924000159,-0.382392085,1,0,0.995561965,0.094108313,0.943664676,0.330903279,0.943664676,0.330903279,0.741541787,1
339,0,-22.59338436,0.342121217,0.740246823,5.4,19.32361,0.923254583,-0.384188722,1,0,0.995561965,0.094108313,0.943664676,0.330903279,0.943664676,0.330903279,0.740246823,1
340,0,-22.69814101,0.343623841,0.739027094,5.4,19.32361,0.92255061,-0.38587611,1,0,0.995561965,0.094108313,0.943664676,0.330903279,0.943664676,0.330903279,0.739027094,1
341,0,-22.79617171,0.345028948,0.737883441,5.4,19.32361,0.921889042,-0.38745399,1,0,0.995561965,0.094108313,0.943664676,0.330903279,0.943664676,0.330903279,0.737883441,1
342,0,-22.88744741,0.346336326,0.736816651,5.4,19.32361,0.921270634,-0.388922124,1,0,0.995561965,0.094108313,0.943664676,0.330903279,0.943664676,0.330903279,0.736816651,1
343,0,-22.97194107,0.347545778,0.73582746,5.4,19.32361,0.920696092,-0.390280291,1,0,0.995561965,0.094108313,0.943664676,0.330903279,0.943664676,0.330903279,0.73582746,1
344,0,-23.04962764,0.348657126,0.734916549,5.4,19.32361,0.92016607,-0.391528292,1,0,0.995561965,0.094108313,0.943664676,0.330903279,0.943664676,0.330903279,0.734916549,1
345,0,-23.12048412,0.349670207,0.734084547,5.4,19.32361,0.919681172,-0.392665942,1,0,0.995561965,0.094108313,0.943664676,0.330903279,0.943664676,0.330903279,0.734084547,1
346,0,-23.18448949,0.350584874,0.733332025,5.4,19.32361,0.919241949,-0.393693077,1,0,0.995561965,0.094108313,0.943664676,0.330903279,0.943664676,0.330903279,0.733332025,1
347,0,-23.2416248,0.351400994,0.732659503,5.4,19.32361,0.918848902,-0.394609548,1,0,0.995561965,0.094108313,0.943664676,0.330903279,0.943664676,0.330903279,0.732659503,1
348,0,-23.29187312,0.352118452,0.732067443,5.4,19.32361,0.918502477,-0.395415225,1,0,0.995561965,0.094108313,0.943664676,0.330903279,0.943664676,0.330903279,0.732067443,1
349,0,-23.33521955,0.352737146,0.731556254,5.4,19.32361,0.918203067,-0.396109994,1,0,0.995561965,0.094108313,0.943664676,0.330903279,0.943664676,0.330903279,0.731556254,1
350,0,-23.37165125,0.353256988,0.731126286,5.4,19.32361,0.917951014,-0.396693756,1,0,0.995561965,0.094108313,0.943664676,0.330903279,0.943664676,0.330903279,0.731126286,1
351,0,-23.40115742,0.353677905,0.730777838,5.4,19.32361,0.917746603,-0.39716643,1,0,0.995561965,0.094108313,0.943664676,0.330903279,0.943664676,0.330903279,0.730777838,1
352,0,-23.42372933,0.353999839,0.730511147,5.4,19.32361,0.917590066,-0.397527949,1,0,0.995561965,0.094108313,0.943664676,0.330903279,0.943664676,0.330903279,0.730511147,1
353,0,-23.43936028,0.354222745,0.730326399,5.4,19.32361,0.917481582,-0.397778264,1,0,0.995561965,0.094108313,0.943664676,0.330903279,0.943664676,0.330903279,0.730326399,1
354,0,-23.44804565,0.354346592,0.73022372,5.4,19.32361,0.917421273,-0.397917338,1,0,0.995561965,0.094108313,0.943664676,0.330903279,0.943664676,0.330903279,0.73022372,1
355,0,-23.44978285,0.354371362,0.73020318,5.4,19.32361,0.917409208,-0.397945154,1,0,0.995561965,0.094108313,0.943664676,0.330903279,0.943664676,0.330903279,0.73020318,1
356,0,-23.44457137,0.354297052,0.730264795,5.4,19.32361,0.9174454,-0.397861707,1,0,0.995561965,0.094108313,0.943664676,0.330903279,0.943664676,0.330903279,0.730264795,1
357,0,-23.43241276,0.354123673,0.730408521,5.4,19.32361,0.917529809,-0.39766701,1,0,0.995561965,0.094108313,0.943664676,0.330903279,0.943664676,0.330903279,0.730408521,1
358,0,-23.41331063,0.353851248,0.73063426,5.4,19.32361,0.917662338,-0.397361087,1,0,0.995561965,0.094108313,0.943664676,0.330903279,0.943664676,0.330903279,0.73063426,1
359,0,-23.38727062,0.353479816,0.730941856,5.4,19.32361,0.917842837,-0.396943984,1,0,0.995561965,0.094108313,0.943664676,0.330903279,0.943664676,0.330903279,0.730941856,1
360,0,-23.35430046,0.353009428,0.731331097,5.4,19.32361,0.918071102,-0.396415756,1,0,0.995561965,0.094108313,0.943664676,0.330903279,0.943664676,0.330903279,0.731331097,1
361,0,-23.31440992,0.352440151,0.731801716,5.4,19.32361,0.918346872,-0.39577648,1,0,0.995561965,0.094108313,0.943664676,0.330903279,0.943664676,0.330903279,0.731801716,1
362,0,-23.26761081,0.351772063,0.732353388,5.4,19.32361,0.918669836,-0.395026243,1,0,0.995561965,0.094108313,0.943664676,0.330903279,0.943664676,0.330903279,0.732353388,1
363,0,-23.21391701,0.35100526,0.732985734,5.4,19.32361,0.919039625,-0.394165154,1,0,0.995561965,0.094108313,0.943664676,0.330903279,0.943664676,0.330903279,0.732985734,1
364,0,-23.15334442,0.350139851,0.733698317,5.4,19.32361,0.919455819,-0.393193333,1,0,0.995561965,0.094108313,0.943664676,0.330903279,0.943664676,0.330903279,0.733698317,1
