Fecha,Hora,Precio marginal local ($/MWh)
12/04/2017,11,1710.85
12/04/2017,12,1779.14
12/04/2017,13,2019.75
12/04/2017,14,1684.45
12/04/2017,15,1680.12
12/04/2017,16,1696.88
12/04/2017,17,1678.82
12/04/2017,18,1603.06
12/04/2017,19,1673.67
12/04/2017,20,1686.76
12/04/2017,21,1730.79
12/04/2017,22,1743.47
12/04/2017,23,1705.89
12/04/2017,24,1513.36
13/04/2017,1,1124.14
13/04/2017,2,955.42
13/04/2017,3,783.49
13/04/2017,4,795.19
13/04/2017,5,732.21
13/04/2017,6,801.34
13/04/2017,7,740.25
13/04/2017,8,836.31
13/04/2017,9,956.64
13/04/2017,10,1107.21
13/04/2017,11,1102.01
13/04/2017,12,1180.54
13/04/2017,13,1097.57
13/04/2017,14,1084.19
13/04/2017,15,1054.96
13/04/2017,16,1053.27
13/04/2017,17,1038.33
13/04/2017,18,1014.15
13/04/2017,19,992.67
13/04/2017,20,1036.04
13/04/2017,21,1112.05
13/04/2017,22,1130.27
13/04/2017,23,1030.1
13/04/2017,24,969.17
14/04/2017,1,1740.51
14/04/2017,2,1128.71
14/04/2017,3,1000.08
14/04/2017,4,1013.2
14/04/2017,5,946.77
14/04/2017,6,910.14
14/04/2017,7,842.07
14/04/2017,8,820.79
14/04/2017,9,902.09
14/04/2017,10,949.9
14/04/2017,11,1128.36
14/04/2017,12,1593.02
14/04/2017,13,1187.2
14/04/2017,14,1172.6
14/04/2017,15,1090.12
14/04/2017,16,1112.86
14/04/2017,17,1065.74
14/04/2017,18,969.83
14/04/2017,19,982.9
14/04/2017,20,1106.68
14/04/2017,21,1166.12
14/04/2017,22,1191.22
14/04/2017,23,1775.36
14/04/2017,24,1165.83
15/04/2017,1,1002.59
15/04/2017,2,1476.88
15/04/2017,3,968.3
15/04/2017,4,881.73
15/04/2017,5,882.15
15/04/2017,6,866.92
15/04/2017,7,1001.62
15/04/2017,8,957.36
15/04/2017,9,1873.44
15/04/2017,10,1889.4
15/04/2017,11,1917.58
15/04/2017,12,1802.21
15/04/2017,13,1746.47
15/04/2017,14,1700.89
15/04/2017,15,1781.05
15/04/2017,16,1896.34
15/04/2017,17,1934.68
15/04/2017,18,1931.42
15/04/2017,19,1778.46
15/04/2017,20,1757.67
15/04/2017,21,2417.2
15/04/2017,22,2159.08
15/04/2017,23,1814.28
15/04/2017,24,1869.55
16/04/2017,1,1262.5
16/04/2017,2,1653.73
16/04/2017,3,1014.76
16/04/2017,4,906.3
16/04/2017,5,870.55
16/04/2017,6,817.24
16/04/2017,7,833.71
16/04/2017,8,845.39
16/04/2017,9,872.56
16/04/2017,10,1053.65
16/04/2017,11,1198.35
16/04/2017,12,1293.42
16/04/2017,13,1282.56
16/04/2017,14,1275.86
16/04/2017,15,1149.92
16/04/2017,16,1370.05
16/04/2017,17,1331.76
16/04/2017,18,1293.34
16/04/2017,19,1287.26
16/04/2017,20,1265.17
16/04/2017,21,1570.87
16/04/2017,22,1306.55
16/04/2017,23,1497.89
16/04/2017,24,1256.33
17/04/2017,1,1354.29
17/04/2017,2,1485.27
17/04/2017,3,1371.79
17/04/2017,4,1022.81
17/04/2017,5,971.16
17/04/2017,6,934.22
17/04/2017,7,1513.53
17/04/2017,8,1088.01
17/04/2017,9,1673.69
17/04/2017,10,2126.95
