h,Tilt angle β,δ (declinación),cos(θ) formula 1,cos(θ) formula 2,A,Latitude φ,cos(δ),sin(δ),cos(β),sin(β),cos(ω),sin(ω),cos(y),sin(y),cos(φ),sin(φ)
181,0,23.18448949,-0.371514249,0.993880685,0,19.32361,0.919241949,0.393693077,1,0,0.995561965,0.094108313,1,0,0.943664676,0.330903279
182,0,23.12048412,-0.370544979,0.993953442,0,19.32361,0.919681172,0.392665942,1,0,0.995561965,0.094108313,1,0,0.943664676,0.330903279
183,0,23.04962764,-0.369471418,0.99403254,0,19.32361,0.92016607,0.391528292,1,0,0.995561965,0.094108313,1,0,0.943664676,0.330903279
184,0,22.97194107,-0.368293725,0.994117516,0,19.32361,0.920696092,0.390280291,1,0,0.995561965,0.094108313,1,0,0.943664676,0.330903279
185,0,22.88744741,-0.36701207,0.994207863,0,19.32361,0.921270634,0.388922124,1,0,0.995561965,0.094108313,1,0,0.943664676,0.330903279
186,0,22.79617171,-0.365626644,0.994303032,0,19.32361,0.921889042,0.38745399,1,0,0.995561965,0.094108313,1,0,0.943664676,0.330903279
187,0,22.69814101,-0.364137654,0.994402434,0,19.32361,0.92255061,0.38587611,1,0,0.995561965,0.094108313,1,0,0.943664676,0.330903279
188,0,22.59338436,-0.362545326,0.994505439,0,19.32361,0.923254583,0.384188722,1,0,0.995561965,0.094108313,1,0,0.943664676,0.330903279
189,0,22.48193281,-0.360849902,0.994611376,0,19.32361,0.924000159,0.382392085,1,0,0.995561965,0.094108313,1,0,0.943664676,0.330903279
190,0,22.36381937,-0.359051647,0.994719538,0,19.32361,0.924786484,0.380486476,1,0,0.995561965,0.094108313,1,0,0.943664676,0.330903279
191,0,22.23907905,-0.357150842,0.99482918,0,19.32361,0.92561266,0.378472196,1,0,0.995561965,0.094108313,1,0,0.943664676,0.330903279
192,0,22.10774881,-0.355147791,0.994939517,0,19.32361,0.926477741,0.376349566,1,0,0.995561965,0.094108313,1,0,0.943664676,0.330903279
193,0,21.96986757,-0.353042815,0.995049734,0,19.32361,0.927380736,0.374118926,1,0,0.995561965,0.094108313,1,0,0.943664676,0.330903279
194,0,21.82547618,-0.350836261,0.995158978,0,19.32361,0.928320609,0.371780644,1,0,0.995561965,0.094108313,1,0,0.943664676,0.330903279
195,0,21.67461744,-0.348528494,0.995266363,0,19.32361,0.929296282,0.369335107,1,0,0.995561965,0.094108313,1,0,0.943664676,0.330903279
196,0,21.51733603,-0.346119903,0.995370974,0,19.32361,0.930306633,0.366782727,1,0,0.995561965,0.094108313,1,0,0.943664676,0.330903279
197,0,21.35367858,-0.343610902,0.995471862,0,19.32361,0.9313505,0.364123943,1,0,0.995561965,0.094108313,1,0,0.943664676,0.330903279
198,0,21.18369356,-0.341001927,0.995568053,0,19.32361,0.932426682,0.361359215,1,0,0.995561965,0.094108313,1,0,0.943664676,0.330903279
199,0,21.00743137,-0.338293438,0.995658541,0,19.32361,0.933533938,0.358489034,1,0,0.995561965,0.094108313,1,0,0.943664676,0.330903279
200,0,20.82494422,-0.335485922,0.995742297,0,19.32361,0.934670989,0.355513913,1,0,0.995561965,0.094108313,1,0,0.943664676,0.330903279
201,0,20.63628618,-0.332579891,0.995818266,0,19.32361,0.935836522,0.352434397,1,0,0.995561965,0.094108313,1,0,0.943664676,0.330903279
202,0,20.44151317,-0.329575884,0.99588537,0,19.32361,0.937029189,0.349251056,1,0,0.995561965,0.094108313,1,0,0.943664676,0.330903279
203,0,20.2406829,-0.326474468,0.995942511,0,19.32361,0.938247607,0.345964489,1,0,0.995561965,0.094108313,1,0,0.943664676,0.330903279
204,0,20.03385488,-0.323276236,0.995988567,0,19.32361,0.939490364,0.342575328,1,0,0.995561965,0.094108313,1,0,0.943664676,0.330903279
205,0,19.82109039,-0.319981812,0.996022403,0,19.32361,0.940756017,0.339084233,1,0,0.995561965,0.094108313,1,0,0.943664676,0.330903279
206,0,19.60245249,-0.316591849,0.996042865,0,19.32361,0.942043093,0.335491893,1,0,0.995561965,0.094108313,1,0,0.943664676,0.330903279
207,0,19.37800596,-0.313107028,0.996048783,0,19.32361,0.943350095,0.331799034,1,0,0.995561965,0.094108313,1,0,0.943664676,0.330903279
208,0,19.14781731,-0.309528063,0.996038976,0,19.32361,0.944675497,0.32800641,1,0,0.995561965,0.094108313,1,0,0.943664676,0.330903279
209,0,18.91195474,-0.305855698,0.996012251,0,19.32361,0.946017753,0.324114811,1,0,0.995561965,0.094108313,1,0,0.943664676,0.330903279
210,0,18.67048816,-0.302090711,0.995967407,0,19.32361,0.947375293,0.32012506,1,0,0.995561965,0.094108313,1,0,0.943664676,0.330903279
211,0,18.4234891,-0.29823391,0.995903233,0,19.32361,0.948746528,0.316038014,1,0,0.995561965,0.094108313,1,0,0.943664676,0.330903279
212,0,18.17103077,-0.294286137,0.995818514,0,19.32361,0.950129849,0.311854565,1,0,0.995561965,0.094108313,1,0,0.943664676,0.330903279
213,0,17.91318797,-0.290248268,0.995712032,0,19.32361,0.951523633,0.307575641,1,0,0.995561965,0.094108313,1,0,0.943664676,0.330903279
214,0,17.65003711,-0.286121214,0.995582566,0,19.32361,0.952926241,0.303202208,1,0,0.995561965,0.094108313,1,0,0.943664676,0.330903279
215,0,17.38165615,-0.281905919,0.995428895,0,19.32361,0.954336021,0.298735267,1,0,0.995561965,0.094108313,1,0,0.943664676,0.330903279
216,0,17.10812464,-0.277603363,0.995249802,0,19.32361,0.95575131,0.294175855,1,0,0.995561965,0.094108313,1,0,0.943664676,0.330903279
217,0,16.82952363,-0.273214563,0.995044072,0,19.32361,0.957170437,0.28952505,1,0,0.995561965,0.094108313,1,0,0.943664676,0.330903279
218,0,16.54593566,-0.268740569,0.994810497,0,19.32361,0.958591724,0.284783966,1,0,0.995561965,0.094108313,1,0,0.943664676,0.330903279
219,0,16.25744477,-0.264182471,0.994547878,0,19.32361,0.960013486,0.279953756,1,0,0.995561965,0.094108313,1,0,0.943664676,0.330903279
220,0,15.96413645,-0.259541392,0.994255024,0,19.32361,0.961434039,0.275035613,1,0,0.995561965,0.094108313,1,0,0.943664676,0.330903279
221,0,15.66609762,-0.254818495,0.993930758,0,19.32361,0.962851694,0.270030766,1,0,0.995561965,0.094108313,1,0,0.943664676,0.330903279
